Funding_Agency,Funding_Agency_Abbrev,Other ,ROR,ROR_Exist,Funding_Agency_Normalized
ADF&G: Alaska Department of Fish and Game,ADF&G,ADF&G|Alaska Department of Fish and Game,02rh7vj17,Y,Alaska Department of Fish and Game
ASC: Andøya Space Center,ASC,"ASC: Andøya Space Center, ASC, Andøya Space Center (en), AndÃ¸ya Space Center (no)",02q5gf687,Y,Andøya Space Center
AWI: Alfred Wegener Institute for Polar and Marine Research (en),AWI,"AWI, Alfred Wegener Institute for Polar and Marine Research (en), Alfred-Wegener-Institut (de), AWI: Alfred Wegener Institute",032e6b942,Y,Alfred Wegener Institute for Polar and Marine Research (en)
"LATMOS: Atmospheres Laboratory Environments, Observations Spatiales (en)",LATMOS,"French Laboratoire Atmospheres, Milieux, Observation Spatiales, Atmospheres Laboratory Environments, Observations Spatiales (en), LATMOS, Laboratoire Atmospheres Milieux Observation Spatiales",05ppf7q77,Y,"Atmospheres Laboratory Environments, Observations Spatiales (en)"
CRREL: Cold Regions Research and Engineering Laboratory,CRREL,"USA CRREL:  United States Army & Cold Regions Research and Engineering Laboratory, CRREL",05wk0m864,Y,Cold Regions Research and Engineering Laboratory
Cominco,,Cominco Ltd.,0,N,Cominco
ConocoPhillips,,ConocoPhillips,04hadnb81,Y,ConocoPhillips
DMI: Danish Meteorological Institute,DMI,"DMI, Danmarks Meteorologiske Institut (da), DMI: Danish Meteorological Institute",020m6x732,Y,Danish Meteorological Institute
"BEIS: Department for Business Energy and Industrial Strategy",BEIS,"BEIS: UK Department for Business Energy & Industry Strategy, BEIS",019ya6433,Y,"Department for Business, Energy and Industrial Strategy"
ECCC: Environment and Climate Change Canada,ECCC,"ECCC, ECCC, Environnement et Changement Climatique Canada (fr), ECCC:  Environment and Climate Change Canada",026ny0e17,Y,Environment and Climate Change Canada
EPA: Environmental Protection Agency,EPA,,03fkcxa91,Y,Environmental Protection Agency
EC: European Commission,EC,"Commission europÃ©enne (fr), Europese Commissie (nl), EuropÃ¤ische Kommission (de), EC",00k4n6c32,Y,European Commission
ESF: European Science Foundation,ESF,ESF,04esata81,Y,European Science Foundation
ESA: European Space Agency,ESA,"ASE, ESA, Agence Spatiale EuropÃ©enne (fr), AgÃ¨ncia Espacial Europea (ca), Europako Espazio Agentzia (eu)",03wd9za21,Y,European Space Agency
ExxonMobil,,ExxonMobil,01xcepn55,Y,ExxonMobil
BMBF: Federal Ministry of Education and Research,BMBF,"BMBF, Bundesministerium fÃ¼r Bildung und Forschung (de), Germany Federal Ministry of Education and Research",04pz7b180,Y,Federal Ministry of Education and Research
FAA: Federal Aviation Administration,FAA,Administración Federal de Aviación (es)| FAA,05q0y0j38,Y,Federal Aviation Administration
FMI: Finnish Meterological Institute,FMI,"FMI:  Finnish Meteorological Institute, FMI, Ilmatieteen Laitos (fi), Meteorologiska Institutet (sv), FMI: Finnish Meterological Institute",05hppb561,Y,Finnish Meterological Institute
Forestry Commission England,,,03hkswm52,Y,Forestry Commission England
GSC: Geological Survey of Canada,GSC,"Commission gÃ©ologique du Canada (fr), GSC",03wm7z656,Y,Geological Survey of Canada
DWD: German Meteorological Service,DWD,"DWD, Deutscher Wetterdienst (de), German Meterological Service (DWD)",02nrqs528,Y,German Meteorological Service
GSFC: Goddard Space Flight Center,GSFC,"NASA Goddard Space Flight Center, Centro de Vuelo Espacial Goddard (es), GSFC",0171mag52,Y,Goddard Space Flight Center
UFZ: Helmholtz Centre for Environmental Research,UFZ,,000h6jb29,Y,Helmholtz Centre for Environmental Research
IPSL: Institut Pierre-Simon Laplace,IPSL,"French Institut Pierre-Simon Laplace, IPSL",02haar591,Y,Institut Pierre-Simon Laplace
JPL: Jet Propulsion Laboratory,JPL,,027k65916,Y,Jet Propulsion Laboratory
NASA: National Aeronautics and Space Administration,NASA,"NASA: National Aeronautics and Space Administration, Mary W. Jackson Headquarters Building (en), NASA Headquarters (en), NASA, NASA HQ, National Aeronautics and Space Administration",027ka1x80,Y,National Aeronautics and Space Administration
"ENEA: National Agency for New Technologies, Energy and Sustainable Economic Development",ENEA,,,N,"National Agency for New Technologies, Energy and Sustainable Economic Development"
NCAR: National Center for Atmospheric Research,NCAR,"Centro Nacional de InvestigaciÃ³n AtmosfÃ©rica (es), NCAR, NCAR:  National Center for Atmospheric Research",05cvfcr44,Y,National Center for Atmospheric Research
INGV: National Institute of Geophysics and Volcanology (en),INGV,"INGV:  National Institute of Geophysics and Volcanology, INGV, National Institute of Geophysics and Volcanology (en)",00qps9a02,Y,National Institute of Geophysics and Volcanology (en)
"NIWA: National Institute of Water and Atmospheric Research,",NIWA,"NIWA: National Institute of Water and Atmospheric Research, NIWA, Taihoro Nukurangi (en)",4hxcaz34,Y,"National Institute of Water and Atmospheric Research,"
NOAA: Earth System Research Laboratory,NOAA, Earth System Research Laboratories (en)| Earth System Research Laboratory (en)| NOAA Earth Systems Research Laboratory (en)| U.S. Earth System Research Laboratory (en)| U.S. National Oceanic and Atmospheric Administration Earth System Research Laboratory (en)| United States Earth System Research Laboratory (en)| United States National Oceanic and Atmospheric Administration Earth System Research Laboratory (en)| ESRL| NOAA ESRL,033tt8e33,Y,Earth System Research Laboratory
NOAA: National Oceanic and Atmospheric Administration,NOAA,"NOAA: National Oceanic and Atmospheric Administration, NOAA: National Oceanographic and Atmospheric Administration Earth Research Laboratory, AdministraciÃ³n Nacional OceÃ¡nica y AtmosfÃ©rica (es), NOAA, National Oceanic & Atmospheric Administration (en), National Oceanographic and Atmospheric Administration (en), U.S. DOC National Oceanic and Atmospheric Administration (en), U.S. Department of Commerce Oceanic and Atmospheric Administration (en), U.S. Department of Commerce. National Oceanic and Atmospheric Administration (en), U.S. Dept. of Commerce National Oceanic and Atmospheric Administration (en), U.S. National Oceanic & Atmospheric Administration (en), U.S. National Oceanic and Atmospheric Administration (en), U.S. National Oceanographic Atmospheric Administration (en), U.S. National Oceanographic and Atmospheric Administration (en), U.S. Oceanic and Atmospheric Administration (en), United States Department of Commerce National Oceanic and Atmospheric Administration (en), United States Department of Commerce Oceanic and Atmospheric Administration (en), United States Dept. of Commerce National Oceanic and Atmospheric Administration (en), United States National Oceanic & Atmospheric Administration (en), United States National Oceanic and Atmospheric Administration (en), United States National Oceanographic Atmospheric Administration (en), United States National Oceanographic and Atmospheric Administration (en), United States Oceanic and Atmospheric Administration (en)",033tt8e33,Y,National Oceanic and Atmospheric Administration
NOAA: National Oceanic and Atmospheric Administration,NOAA,"AdministraciÃ³n Nacional OceÃ¡nica y AtmosfÃ©rica (es), NOAA, National Oceanic & Atmospheric Administration (en), National Oceanographic and Atmospheric Administration (en), U.S. DOC National Oceanic and Atmospheric Administration (en), U.S. Department of Commerce Oceanic and Atmospheric Administration (en), U.S. Department of Commerce. National Oceanic and Atmospheric Administration (en), U.S. Dept. of Commerce National Oceanic and Atmospheric Administration (en), U.S. National Oceanic & Atmospheric Administration (en), U.S. National Oceanic and Atmospheric Administration (en), U.S. National Oceanographic Atmospheric Administration (en), U.S. National Oceanographic and Atmospheric Administration (en), U.S. Oceanic and Atmospheric Administration (en), United States Department of Commerce National Oceanic and Atmospheric Administration (en), United States Department of Commerce Oceanic and Atmospheric Administration (en), United States Dept. of Commerce National Oceanic and Atmospheric Administration (en), United States National Oceanic & Atmospheric Administration (en), United States National Oceanic and Atmospheric Administration (en), United States National Oceanographic Atmospheric Administration (en), United States National Oceanographic and Atmospheric Administration (en), United States Oceanic and Atmospheric Administration (en)",02z5nhe81,Y,National Oceanic and Atmospheric Administration
CNRC: National Research Council of Canada,CNRC,"National Research Council of Canada, CNRC, NRC, Conseil National de Recherches Canada (fr)",04mte1k06,Y,National Research Council of Canada
NSF: National Science Foundation,NSF,"NSF, NSF: National Science, NSF: National Science Foundation",021nxhr62,Y,National Science Foundation
NRCS: Natural Resources Conservation Service,NRCS,"NRCS, SCS, Soil Conservation Service (en)",03j7rgg33,Y,Natural Resources Conservation Service
NOAA NWS: NOAA National Weather Service Alaska Region,NOAA NWS,"NOAA National Weather Service Alaska Region, NOAA NWS AR, NWS AR, NOAA National Weather Service Alaska Region HQ (en), NOAA/NWS Alaska Region (en), NOAA/NWS Alaska Regional Headquarters (en), NOAA/National Weather Service Alaska Region (en), NOAA/National Weather Service Alaska Regional Headquarters (en), National Oceanic and Atmospheric Administration National Weather Service Alaska Region (en), National Weather Service Alaska Region (en), National Weather Service Alaska Region HQ (en), National Weather Service Alaska Regional Headquarters (en), U.S. National Weather Service Alaska Region (en), United States National Weather Service Alaska Region (en)",038hf8q48,Y,NOAA National Weather Service Alaska Region
NEA: Norwegian Environment Agency,NEA,"NEA: Norwegian Environment Agency, KLIF, SFT, Klima- og forurensningsdirektoratet (no), Norwegian Climate and Pollution Agency (en), Statens forurensningstilsyn (no)",023jta124,Y,Norwegian Environment Agency
NGU: Norwegian Geological Survey,NGU,"Norwegian Geological Survey, NGU, Norges Geologiske UndersÃ¸kelse (no)",036dwbr90,Y,Norwegian Geological Survey
NILU: Norwegian Institute for Air Research,NILU,"Norwegian Institute for Air Research, NILU, Norsk Institutt for Luftforskning (no)",00q7d9z06,Y,Norwegian Institute for Air Research
BIRA: Royal Belgian Institute for Space Aeronomy,BIRA,"Royal Belgian Institute for Space Aeronomy, Royal Belgian Institute for Space Aeronomy, BIRA, IASB, Koninklijk Belgisch Instituut voor Ruimte-Aeronomie (nl), KÃ¶niglich Belgisches Institut fÃ¼r Raumfahrt (de), L'Institut royal d'AÃ©ronomie Spatiale de Belgique (fr)",03vfw8w96,Y,Royal Belgian Institute for Space Aeronomy
KNMI: Royal Netherlands Meteorological Institute,KNMI,"KNMI: Royal Netherlands Meteorological Institute, KNMI, Koninklijk Nederlands Meteorologisch Instituut (nl)",05dfgh554,Y,Royal Netherlands Meteorological Institute
RAS: Russian Academy of Sciences,RAS,"RAS, RossÃ­iskaya AkadÃ©miya NaÃºk, Ð Ð¾ÑÑÐ¸Ð¹ÑÐºÐ°Ñ Ð°ÐºÐ°Ð´ÐµÐ¼Ð¸Ñ Ð½Ð°ÑƒÐº (ru)",05qrfxd25,Y,Russian Academy of Sciences
Roshydromet,,Federal Service for Hydrometeorology and Environmental Monitoring of Russia (en),02qsexb35,Y,Roshydromet
Russian Central Aerological Observatory,,Russian Central Aerological Observatory,0,N,Russian Central Aerological Observatory
IRF: Swedish Institute of Space Physics,IRF,"IRF, Institutet fÃ¶r rymdfysik (sv), Ruotsin avaruusfysiikan laitos (fi)",043kppn11,Y,Swedish Institute of Space Physics
Swedish Polar Research Secretariat,,Polarforskningssekretariatet (sv),02t64n115,Y,Swedish Polar Research Secretariat
The Nordic Council of Ministers,,,,N,The Nordic Council of Ministers
DOE: U.S. Department of Energy (en),DOE,"DOE, Departamento de EnergÃ­a de los Estados Unidos (es), DÃ©partement de l'Ã‰nergie des Ã‰tats-unis (fr), U.S. Department of Energy (en)",01bj3aw27,Y,U.S. Department of Energy (en)
NPL: United Kingdom National Physical Laboratory,NPL,"United Kingdom National Physical Laboratory, NPL",,N,United Kingdom National Physical Laboratory
USA: United States Army,USA,"USA: United States Army, U.S. Army (en), U.S. Army (en), U.S. Department of the Army (en), United States Army (en), United States Department of the Army (en)",00afsp483,Y,United States Army
USAF: United States Air Force,USAF,"USAF: United States Air Force, U.S. Air Force (en), U.S. Air Force (en), United States Air Force (en)",006gmme17,Y,United States Air Force
USDA: United States Department of Agriculture,USDA,"USDA: United States Department of Agriculture, Agriculture Department (en), Departamento de Agricultura de los Estados Unidos (es), DÃ©partement de l'Agriculture des Ã‰tats-Unis (fr), USDA",01na82s61,Y,United States Department of Agriculture
DOE: United States Department of Energy,DOE,"DOE, Departamento de EnergÃ­a de los Estados Unidos (es), DÃ©partement de l'Ã‰nergie des Ã‰tats-unis (fr), U.S. Department of Energy (en)",01bj3aw27,Y,United States Department of Energy
USGS: United States Geological Survey,USGS,"Geological Survey (en), Servicio GeolÃ³gico de los Estados Unidos (es), USGS, USGS: United States Geological Survey",035a68863,Y,United States Geological Survey
UVSQ: Versailles Saint-Quentin-en-Yvelines University (en),UVSQ,"UVSQ, Versailles Saint-Quentin-en-Yvelines University (en), French Universite de Versailles St Quentin",03mkjjy25,Y,Versailles Saint-Quentin-en-Yvelines University (en)
WMO: World Meteorological Organization,WMO,"WMO: World Meteorological Organization, OMM, WMO, Organisation mÃ©tÃ©orologique mondiale (fr), OrganizaciÃ³n MeteorolÃ³gica Mundial (es)",011pjwf87,Y,World Meteorological Organization